objectid,object_location,,image_back,image_small,image_thumb,sortid,identifier,title,image_alt_text,fullname,firstname,familyname,occupation,creator,date,date_note,date_coverage,date_lifespan,description,note_sources,note_internal,subject,rights,rightsstatement,rightsstatement,location,language,format,source,latitude,longitude,type,youtubeid,vimeoid,object_transcript
1964_1-24,https://digimuseum.site/vpimages/1964_1-24_a.jpg,https://digimuseum.site/vpimages/1964_1-24_a_th.jpg,https://digimuseum.site/vpimages/1964_1-24_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-24_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-24_a_th.jpg,,1964_1-24,"Bruzelli, Frans",,Frans Bruzelli,,Bruzelli,Garvare,Okänd,1864,ca,1864-1869,-1825,,,,,,,,,,,,,,,,,
1964_1-25,https://digimuseum.site/vpimages/1964_1-25_a.jpg,https://digimuseum.site/vpimages/1964_1-25_a_th.jpg,https://digimuseum.site/vpimages/1964_1-25_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-25_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-25_a_th.jpg,,1964_1-25,"Bruzelli, Frans",,Frans Bruzelli,,Bruzelli,Garvare,Okänd,1875,ca,1870-1875,-1825,,,,,,,,,,,,,,,,,
f1964_1461,https://digimuseum.site/vpimages/f1964_1461_a.jpg,https://digimuseum.site/vpimages/f1964_1461_a_th.jpg,https://digimuseum.site/vpimages/f1964_1461_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1461_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1461_a_th.jpg,,f1964_1461,"Regnstrand, Ernst Olof",,Ernst Olof Regnstrand,,Regnstrand,,Anders Andersson,1874,ca,1873-1875,1838-1875,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041235","14,8907069217978",Image;StillImage,,,
f1964_1462,https://digimuseum.site/vpimages/f1964_1462_a.jpg,https://digimuseum.site/vpimages/f1964_1462_a_th.jpg,https://digimuseum.site/vpimages/f1964_1462_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1462_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1462_a_th.jpg,,f1964_1462,"Noren, A.",,A. Noren,,Noren,Boktryckare; Redaktör,,1871,ca,,,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041235","14,8907069217978",Image;StillImage,,,
f1964_1463,https://digimuseum.site/vpimages/f1964_1463_a.jpg,https://digimuseum.site/vpimages/f1964_1463_a_th.jpg,https://digimuseum.site/vpimages/f1964_1463_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1463_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1463_a_th.jpg,,f1964_1463,Rundqvist,,Rundqvist,,Rundqvist,Apotekare,Alfred Vougt,1872,ca,,,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041235","14,8907069217978",Image;StillImage,,,
f1964_1464,https://digimuseum.site/vpimages/f1964_1464_a.jpg,https://digimuseum.site/vpimages/f1964_1464_a_th.jpg,https://digimuseum.site/vpimages/f1964_1464_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1464_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1464_a_th.jpg,,f1964_1464,"Holmberg, J.A.",,J.A. Holmberg,,Holmberg,Bankdirektör; Apotekare,S.L. Rydholm,1865,ca,,,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041235","14,8907069217978",Image;StillImage,,,
f1964_1468,https://digimuseum.site/vpimages/f1964_1468_a.jpg,https://digimuseum.site/vpimages/f1964_1468_a_th.jpg,https://digimuseum.site/vpimages/f1964_1468_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1468_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1468_a_th.jpg,,f1964_1468,"Björk, Carl Oscar",,Carl Oscar Björk,,Björk,,,1863,ca,,,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041235","14,8907069217978",Image;StillImage,,,
f1964_1469,https://digimuseum.site/vpimages/f1964_1469_a.jpg,https://digimuseum.site/vpimages/f1964_1469_a_th.jpg,https://digimuseum.site/vpimages/f1964_1469_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1469_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1469_a_th.jpg,,f1964_1469,Aurell,,Aurell,,Aurell,,,1864,ca,,,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041235","14,8907069217978",Image;StillImage,,,
f1964_1470,https://digimuseum.site/vpimages/f1964_1470_a.jpg,https://digimuseum.site/vpimages/f1964_1470_a_th.jpg,https://digimuseum.site/vpimages/f1964_1470_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1470_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1470_a_th.jpg,,f1964_1470,"Ahlstrand, Johan Henrik",,Johan Henrik Ahlstrand,,Ahlstrand,,,1869,ca,,,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041235","14,8907069217978",Image;StillImage,,,
f1964_1471,https://digimuseum.site/vpimages/f1964_1471_a.jpg,https://digimuseum.site/vpimages/f1964_1471_a_th.jpg,https://digimuseum.site/vpimages/f1964_1471_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1471_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1471_a_th.jpg,,f1964_1471,"Alexandersson, Per",,Per Alexandersson,,Alexandersson,Handlande,,1872,ca,,,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041235","14,8907069217978",Image;StillImage,,,
f1964_1472,https://digimuseum.site/vpimages/f1964_1472_a.jpg,https://digimuseum.site/vpimages/f1964_1472_a_th.jpg,https://digimuseum.site/vpimages/f1964_1472_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1472_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1472_a_th.jpg,,f1964_1472,"Andersson, Ebba",,Ebba Andersson,,Andersson,,Johan Ahlström,1878,ca,,,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041235","14,8907069217978",Image;StillImage,,,
f1964_1473,https://digimuseum.site/vpimages/f1964_1473_a.jpg,https://digimuseum.site/vpimages/f1964_1473_a_th.jpg,https://digimuseum.site/vpimages/f1964_1473_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1473_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1473_a_th.jpg,,f1964_1473,"Johansson, Klara",,Klara Johansson,,Johansson,,Maria Tesch,1875,ca,,,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041235","14,8907069217978",Image;StillImage,,,
f1964_1474,https://digimuseum.site/vpimages/f1964_1474_a.jpg,https://digimuseum.site/vpimages/f1964_1474_a_th.jpg,https://digimuseum.site/vpimages/f1964_1474_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1474_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1474_a_th.jpg,,f1964_1474,"Regnstrand, Olof Oscar",,Olof Oscar Regnstrand,,Regnstrand,Matentreprenör,Anders Andersson,1876,ca,,,Matentreprenör vid Lasarettet.,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041235","14,8907069217978",Image;StillImage,,,
f1964_1475,https://digimuseum.site/vpimages/f1964_1475_a.jpg,https://digimuseum.site/vpimages/f1964_1475_a_th.jpg,https://digimuseum.site/vpimages/f1964_1475_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1475_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1475_a_th.jpg,,f1964_1475,Lagerdal,,Lagderdal,,Lagerdal,,Anders Andersson,1877,ca,,,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041235","14,8907069217978",Image;StillImage,,,
f1964_1481,https://digimuseum.site/vpimages/f1964_1481_a.jpg,https://digimuseum.site/vpimages/f1964_1481_a_th.jpg,https://digimuseum.site/vpimages/f1964_1481_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1481_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1481_a_th.jpg,,f1964_1481,"Andersson, Fredrique",,Fredrique Andersson,,Andersson,Hotellföreståndare,Swen Swensson,1896,ca,,,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041239","14,8907069217978",Image;StillImage,,,
f1964_1482,https://digimuseum.site/vpimages/f1964_1482_a.jpg,https://digimuseum.site/vpimages/f1964_1482_a_th.jpg,https://digimuseum.site/vpimages/f1964_1482_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1482_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1482_a_th.jpg,,f1964_1482,"Ringqvist, Amalia",,Amalia Ringqvist,,Ringqvist,Postexpeditör,Swen Swensson,1898,ca,,,"Amalia Ringqvist, f. Pihlström. Postexpeditör 1875-1899",,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041239","14,8907069217978",Image;StillImage,,,
f1964_1483,https://digimuseum.site/vpimages/f1964_1483_a.jpg,https://digimuseum.site/vpimages/f1964_1483_a_th.jpg,https://digimuseum.site/vpimages/f1964_1483_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1483_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1483_a_th.jpg,,f1964_1483,"Björlingsson, Knut",,Knut Björlingsson,,Björlingsson,,August Roesler,1884,ca,,-1873,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041239","14,8907069217978",Image;StillImage,,,
f1964_1484,https://digimuseum.site/vpimages/f1964_1484_a.jpg,https://digimuseum.site/vpimages/f1964_1484_a_th.jpg,https://digimuseum.site/vpimages/f1964_1484_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1484_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1484_a_th.jpg,,f1964_1484,"Holm, Ida; Holm, Hilding",,Ida och Hilding Holm,,Holm,,Klemmings Atelier,1915,not.,,,"Ida och Hilding Holm. Paret som träffades unga och fick varandra på äldre dagar. De bodde i ""Holmska villan"", som Hilding byggt.",,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041239","14,8907069217978",Image;StillImage,,,
